"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif","color_grp"
"LXN",0.721765290109438,6.94415969387755,0.495257104576022,0.620977801163741,0.795554515093183,-6.06758050503618,"NS","NS"
"CCN3",-0.486156452612018,1.95868520408163,-0.495187608864272,0.621026761602874,0.79556118241413,-6.06761361731604,"NS","NS"
"NME9",-0.00914879207103035,0.0273979591836735,-0.495126679551735,0.621069688317784,0.79556118241413,-6.06764264419299,"NS","NS"
"MRAP",0.00452969233945901,0.008825,0.495104977222648,0.621084978640076,0.79556118241413,-6.06765298237645,"NS","NS"
"OLFML3",0.0831662192855667,0.279226530612245,0.494848330032922,0.621265811289446,0.795682139973126,-6.06777520528879,"NS","NS"
"VKORC1L1",0.316317881478422,4.29157091836735,0.494846608117673,0.621267024622362,0.795682139973126,-6.06777602510182,"NS","NS"
"ARV1",0.286204976254386,2.79743418367347,0.494820807672421,0.621285204810656,0.795682139973126,-6.06778830849079,"NS","NS"
"SLC2A7",0.246598595911625,0.44035,0.49477796575257,0.621315393725651,0.795682139973126,-6.06780870378078,"NS","NS"
"AQP12A",0.00152370431550692,0.00216377551020408,0.494647555245408,0.621407292527532,0.795756288319029,-6.06787077606148,"NS","NS"
"GPANK1",0.154126450547181,3.17865306122449,0.494385416381548,0.621592036808318,0.795949317293943,-6.06799549851469,"NS","NS"
"IKZF4",0.119064856493908,3.20452397959184,0.494240417143122,0.621694236407363,0.795980071498483,-6.068064459047,"NS","NS"
"ARL11",-0.328450299401195,3.56954693877551,-0.494214927668795,0.621712202875831,0.795980071498483,-6.06807657956161,"NS","NS"
"TF",0.0377043774519927,0.172201530612245,0.49420658822196,0.621718081053782,0.795980071498483,-6.0680805449214,"NS","NS"
"COP1",-0.32616621928557,8.66752755102041,-0.494018680521898,0.6218505369214,0.796106105275428,-6.06816987627624,"NS","NS"
"MIR4633",-0.00467761717943424,0.00826275510204082,-0.493913391050397,0.62192476071491,0.796157579419814,-6.06821991609821,"NS","NS"
"MAB21L2",-0.00592132975428454,0.0117030612244898,-0.493734528289796,0.622050858867353,0.796275451312098,-6.06830489793909,"NS","NS"
"CA6",-0.187532417922776,0.702569897959184,-0.493516084658671,0.622204876676676,0.796429047777829,-6.06840864392608,"NS","NS"
"HAUS7",0.150817055544082,2.17270918367347,0.49305372882128,0.622530924368744,0.796795995704506,-6.06862808072342,"NS","NS"
"LOC100132078",-0.0135345240553376,0.0977301020408163,-0.493013013392617,0.622559639967883,0.796795995704506,-6.06864739467719,"NS","NS"
"GREP1",-0.00639702663638241,0.0213632653061224,-0.492705100758537,0.622776821974377,0.79703037611058,-6.06879340599147,"NS","NS"
"SARAF",-7.38600026842866,157.773205612245,-0.492655594610671,0.622811743552537,0.797031486568273,-6.06881687317894,"NS","NS"
"MTNR1A",-0.0075395416064423,0.0214897959183673,-0.492582762196098,0.622863121005904,0.797053654846538,-6.06885139334151,"NS","NS"
"OR6K6",-0.00265224034689242,0.00663673469387755,-0.492200373201307,0.623132896267282,0.797355280582567,-6.06903254959114,"NS","NS"
"IL34",-0.00801577534586001,0.0650081632653061,-0.492138777910322,0.623176356484825,0.797367298465303,-6.06906171715195,"NS","NS"
"LIMA1",-0.0601511253355357,0.595400510204082,-0.492089934322851,0.623210820334513,0.797367804620854,-6.06908484373937,"NS","NS"
"RIPK1",-0.462094569481732,9.70114897959184,-0.491818569486207,0.623402309474502,0.797569205928213,-6.06921328856675,"NS","NS"
"RPS6KA4",-0.767966673549449,10.4420989795918,-0.491655785163489,0.623517190870399,0.797672580066777,-6.06929030518527,"NS","NS"
"NEFM",-0.0106709684080116,0.0298147959183673,-0.49154902687224,0.623592538159378,0.797725369240284,-6.069340800926,"NS","NS"
"KDM1B",-0.898754986578568,14.7563551020408,-0.491315309975993,0.623757503461828,0.797883555327583,-6.06945130879749,"NS","NS"
"FANCL",-0.282742700805291,3.68631581632653,-0.491277241991185,0.623784374936301,0.797883555327583,-6.06946930343873,"NS","NS"
"MIR1185-2",0.005,0.00426020408163265,0.491221309553644,0.623823857507143,0.797890452208026,-6.06949574003932,"NS","NS"
"MTFR1",0.0582363824075982,1.09581632653061,0.490910522925329,0.624043260862422,0.798127460135792,-6.06964257939665,"NS","NS"
"PRSS30P",0.00947902126780919,0.045090306122449,0.490450468198293,0.624368103420217,0.798463320386527,-6.06985977425006,"NS","NS"
"ERLIN2",-0.176405657650218,3.26927448979592,-0.490441983895351,0.624374094839317,0.798463320386527,-6.06986377783766,"NS","NS"
"TMEM254",0.362131364856491,4.52149897959184,0.490185724374127,0.624555071196884,0.798632865432895,-6.06998466947183,"NS","NS"
"CACNG7",-0.00780214742927938,0.0294867346938775,-0.490145934287466,0.624583173916946,0.798632865432895,-6.07000343497992,"NS","NS"
"PRR32",0.028634317571753,0.0268734693877551,0.490109310456421,0.624609040877981,0.798632865432895,-6.07002070589896,"NS","NS"
"PER3",0.104029320669007,0.890651020408163,0.490033054456882,0.62466290104738,0.79865810111515,-6.07005666226636,"NS","NS"
"C11orf71",-0.180480590543055,3.12575765306122,-0.489891084145951,0.624763181097286,0.798742680591138,-6.07012358949905,"NS","NS"
"MIR5100",0.0133233532934132,0.0113520408163265,0.489790313233867,0.624834364397873,0.798790053459265,-6.070171082893,"NS","NS"
"SLC22A20P",-0.02516310138344,0.266911734693878,-0.48966134736149,0.624925469408067,0.798854931295744,-6.07023185037254,"NS","NS"
"SNORD115-38",0.00211976047904192,0.00180612244897959,0.489621843537287,0.624953377142708,0.798854931295744,-6.0702504610014,"NS","NS"
"NET1",0.904261945075373,13.2169887755102,0.489541574673982,0.625010085274696,0.798883788206775,-6.07028827181628,"NS","NS"
"DGKI",0.0416754697501549,0.0842954081632653,0.489353588184684,0.625142902221234,0.799009918440803,-6.07037679904503,"NS","NS"
"RNU6-67P",0.0118068346066488,0.011094387755102,0.48910283202858,0.625320086530487,0.799164350868686,-6.07049483318479,"NS","NS"
"EXOSC7",0.0963534998967579,2.71015918367347,0.489057883331712,0.62535184958751,0.799164350868686,-6.0705159847352,"NS","NS"
"OR3A2",0.0211782159818294,0.0452964285714286,0.489037625900046,0.625366164757957,0.799164350868686,-6.07052551665997,"NS","NS"
"LINC02259",0.00701352467478835,0.0140413265306122,0.488816583135349,0.62552237667638,0.799320333375773,-6.07062950045075,"NS","NS"
"PSPN",-0.0661704728474077,0.923695918367347,-0.488712788082553,0.625595734955278,0.799353697719918,-6.07067831194143,"NS","NS"
"MIR138-1",-0.0016750361346273,0.0018969387755102,-0.488632932460463,0.625652176324735,0.799353697719918,-6.07071585844692,"NS","NS"
"CCL20",0.154466756142887,0.26801887755102,0.488602619601444,0.625673601810669,0.799353697719918,-6.07073010934038,"NS","NS"
"STIMATE-MUSTN1",-0.267781602312614,7.46794948979592,-0.488586353511963,0.625685099005721,0.799353697719918,-6.07073775610464,"NS","NS"
"MIR4290",0.00369551930621516,0.00454183673469388,0.488275668198465,0.625904715160538,0.799590625966508,-6.07088376197199,"NS","NS"
"SLCO2B1",0.153719781127401,0.319561734693878,0.488194498702895,0.625962097483102,0.799607569562683,-6.07092189213219,"NS","NS"
"TINF2",-0.985576646706608,20.5009484693878,-0.488123177418379,0.6260125195519,0.799607569562683,-6.07095539078064,"NS","NS"
"TUBGCP3",0.384298946933711,7.72024183673469,0.488111931591574,0.626020470184431,0.799607569562683,-6.07096067234874,"NS","NS"
"DPAGT1",0.26461887259963,3.60885918367347,0.488027343834547,0.62608027387649,0.799631454619654,-6.07100039483972,"NS","NS"
"FAM50B",0.0773268635143501,0.570940816326531,0.487988835730997,0.626107499994009,0.799631454619654,-6.07101847600709,"NS","NS"
"ZNF692",-0.263730662812307,4.19947346938776,-0.487878231938352,0.626185702282969,0.799687693672336,-6.07107040120603,"NS","NS"
"NICN1",0.137003262440635,2.41365306122449,0.487733465709403,0.626288065485946,0.799774780265089,-6.07113834691543,"NS","NS"
"MMP13",0.0193840388189139,0.0580780612244898,0.487584592228703,0.626393340466182,0.799865575514812,-6.07120819937737,"NS","NS"
